text,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
"The Pacific Economic Cooperation Council (PECC) has issued a report examining the economic impact of the COVID-19 crisis on the Asia-Pacific region and outlining an agenda for cooperation.The technical and policy-focused publication titled, ‘State of the Region: Special report on COVID-19,’ acknowledges high levels of policy uncertainty in the region due to the pandemic, as well as the scale and duration of related economic and social shocks, and pace of recovery. The report thus focuses on how regional cooperation can provide governments with more options for recovery in the face of these uncertainties.The report collates a set of proposals using data collected from 710 survey respondents in business, academia, government, and civil society between 9 May and 12 June 2020. The results show greater levels of pessimism on economic impacts to the region than official estimates indicate. The report points to regional stimulus efforts totaling approximately USD 5.4 trillion, and notes that while policymakers’ appetites are constrained by memories of recent financial crises, “regional economies have space for further stimulus.”Regional mechanisms, the authors emphasize, can facilitate the design and implementation of coordination and cooperation packages, and build a sense of direction to support future growth. They note that top priorities for regional cooperation include sharing pandemic preparedness practices, vaccine development, and three aspects of trade with respect to essential products: the facilitation of trade as a whole; the removal of export restrictions; and the removal of tariffs.Observing that the pandemic has both deepened and accelerated preexisting trends, the report notes the importance of human contact, but also opportunities around digital technology and the multitude of connections available. As schools remain shuttered in many parts of the world, the report notes remote learning opportunities, with the caveat that risks remain around the digital divide despite action being taken through the Asia-Pacific Economic Cooperation (APEC) Internet and Digital Roadmap.To address the “first order” priorities stemming from the pandemic, the report recommends multilateral actions that facilitate regional progress on seven issue areas:Information sharing;Flow of essential products;Moving beyond gross domestic product (GDP);Facilitating e-commerce;Restarting travel;Minimizing disruption to supply chains; andContact tracing.A message from PECC co-chairs Don Campbell and Su Ge highlights that this year marks PECC’s 40th anniversary and that the rationale behind the Council’s establishment still rings true today. They note that “[w]e can only resolve this pandemic and economic crisis through effective cooperation.” [Publication:State of the Region Report: Impact of the Covid‐19 Crisis] [Publication Landing Page]",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
"15 July 2019: An event on the sidelines of the 2019 session of the UN High-level Political Forum on Sustainable Development (HLPF) highlighted the ways in which a community-based model of landscape management can enhance the resilience of local ecosystems, protect biodiversity and support sustainable livelihoods of rural communities.The side event titled, ‘SATOYAMA – Society Living in Harmony with Nature: An Inclusive Approach from Communities, Landscapes and Seascapes,’ was presented by the Convention on Biological Diversity (CBD) Secretariat, and co-sponsored by: the Governments of Bhutan, Costa Rica and Japan, the Global Environment Facility (GEF) Small Grants Programme (SGP), the Institute for Global Environmental Strategies (IGES) and the UN University Institute for the Advanced Study of Sustainability (UNU-IAS).The event shared lessons learned from the Satoyama Initiative, which envisions inclusive societies operating in harmony with nature and biodiversity in the production of landscapes and seascapes. It called for mainstreaming the landscapes and seascapes approach into national and sub-national policies, and illustrated the ways in which the Initiative contributes to implementation of SDGs 8 (decent work and economic growth), 10 (reduced inequalities), 13 (climate action), 14 (life under water) and 15 (life on land).Speaking during the event, Satoru Morishita, Ministry of the Environment, Japan, argued that the Satoyama Initiative can provide guidance for implementing the post-2020 global biodiversity framework by promoting area-based management and conservation outside protected areas.Kazuhiko Takeuchi, IGES and UNU-IAS, said the Initiative seeks to,inter alia, integrate traditional ecological knowledge and modern science, and explore new forms of co-management systems.Yoko Watanabe, GEF-SGP, UN Development Programme (UNDP), explained that Community Development and Knowledge Management for the Satoyama Initiative (COMDEKS) applies a community-based landscape approach for conserving ecosystems and biodiversity, while promoting sustainable livelihoods, and has developed and implemented 20 Integrated Land/Seascape Strategies with 216 projects in 20 countries, with over 70,000 community beneficiaries.Speakers also noted that: the Satoyama Initiative has empowered local communities through the Gamri Watershed project in eastern Bhutan; and the GEF-SGP, through COMDEKS, has promoted sustainable livelihoods of indigenous peoples, established biological corridors, and managed water resources in Costa Rica.The International Partnership for the Satoyama Initiative (IPSI) is a global platform aimed at facilitating and accelerating implementation of activities under the Satoyama Initiative. It was launched in 2010 to promote network, collaboration and research that contributes to the CBD, SDGs and Socio-Ecological Production Landscapes and Seascapes (SEPLS). COMDEKS provides grants to civil society and community-based organizations to catalyze participatory landscape planning and undertake projects to increase community resilience and to maintain, rebuild and revitalize SEPLS.IISD Reporting Services is providing coverage ofselected side eventsduring the 2019 HLPF. [IISD RS Coverage of the Side Event on the Satoyama Initiative] [Satoyama Initiative Website] [COMDEKS Website]",0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0
"The 33rd UN-Water Meeting offered a brief chance for the Members, Partners, and observers of this UN interagency coordination mechanism to discuss the role of water and sanitation in addressing the COVID-19 pandemic. Participants also received updates on opportunities to engage at the global level to build momentum for implementation of SDG 6 (clean water and sanitation).This meeting was originally scheduled to take place in August 2020, in Stockholm, Sweden. Due to the COVID-19 pandemic, the open session took place as a 90-minute online discussion on 29 September 2020.Of particular focus was the SDG 6 Global Acceleration Framework, which waslaunchedin July 2020 by UN-Water with the participation of the UN Secretary-General António Guterres and 11 UN agency heads. UN-Water Chair Gilbert Houngbo highlighted that the SDG 6 Global Acceleration Framework calls for an annual “moment” for SDG 6 during the UN High-level Political Forum on Sustainable Development (HLPF) when it convenes each July under the auspices of the UN Economic and Social Council (ECOSOC). The SDG 6 Moment would provide an opportunity to assess progress and share success stories.An additional area of discussion was the UN-Water “offer,” which identifies ways that UN-Water Members and Partners can help support UN country teams through the UN resident coordinator (RC) system. Following the delivery of the offer in January, country teams from the following eight countries have replied: Bahrain, Costa Rica, Guinea, India, Madagascar, Mexico, Nepal, and São Tomé and Príncipe.Participants were also updated on preparations for upcoming high-level events at the UN on water and sanitation issues. Madhushree Chatterjee, UN-Water Secretary, said the President of the UN General Assembly (UNGA) will organize one of the two high-level events by June 2021, so that it may contribute to the July 2021 session of the HLPF.The year 2023 marks the midpoint of the Water Action Decade (2018-2028), and a UN Conference on the Midterm Comprehensive Review of the Implementation of the Objectives of the International Decade for Action, ‘Water for Sustainable Development,’ will convene from 22-24 March 2023. Mahmadamin Mahmadaminov, Permanent Representative of Tajikistan, and Mark Zellenrath, Deputy Permanent Representative of the Netherlands, noted their countries’ efforts as co-facilitators regarding the modalities for the event. Chatterjee reported that regional preparatory meetings will take place in 2022 for the Midterm Review meeting.During a closed meeting for UN-Water Members on 30 September 2020, it was agreed that the 34th UN-Water meeting will convene virtually from 16-17 March 2021. [ENB coverage of UN-Water meeting]",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"May 2019: Participants from multi-stakeholder bodies and initiatives, CSOs and networks, the business sector, academia, regional and local levels, and parliaments gathered for the second meeting of the Open SDGclub.Berlin at the invitation of the German Council for Sustainable Development (RNE). Participants exchanged solutions-oriented ideas, discussed what is being done at the local, national, regional and global levels to implement the SDGs, and highlighted challenges and discussed ways to deal with them.The event took place from 7-9 May 2019, in Berlin, Germany, and brought together 60 sustainability practitioners from over 30 countries.Among other agenda items, participants met with the Advisory Committee on Sustainable Development of the German Bundestag to discuss the role of parliaments in implementing the 2030 Agenda. German sustainability actors joined the meeting on the final day to exchange information about their experiences with SDG-related initiatives. The meeting concluded with a discussion with representatives from the two German ministries responsible for SDG implementation: the Federal Ministry for the Environment and the Federal Ministry for Economic Cooperation.During the meeting, participants met in four teams to discuss challenges and opportunities related to the UN High-level Political Forum on Sustainable Development (HLPF), multi-stakeholder bodies and processes, subnational implementation of SDGs, and initiatives and projects. Recommendations from each of the teams were shared with the full group, and included:stakeholders should be involved in deliberations on issues that concern those stakeholders, such as the development of HLPF Guidelines for Partnerships;the search for partners and building of alliances across stakeholders requires the use of a common language;data is fundamental for initiating projects;links between the SDGs and existing best practices should be identified;before being presented to HLPF, Voluntary National Reviews (VNRs) should be presented to the relevant national government; andthere should be a focus on regular and transparent VNR follow-ups at the national level.Participants discussed and agreed, in their personal capacities, on a Call for Action that:calls for all Heads of State to raise the level of awareness of and commitment to implementing and following up the 2030 Agenda;calls for all parties to use the UN HLPF as the one relevant global mechanism for coordinating and monitoring the 2030 Agenda; andencourages all stakeholders to advance the multi-stakeholder and multi-level approaches to the 2030 Agenda, respecting the needs of future generations.[Open SDGclub.Berlin Call for Action] [SDG Knowledge Hub summary of first Open SDGclub.Berlin meeting][SDG Knowledge Hub sources]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"14 October 2019: Building cities sustainable enough to meet future needs will require new ways of thinking and working, as well as new kinds of multi-stakeholder initiatives and partnerships, according to a flagship report published by the UN Economic and Social Commission for Asia and the Pacific (ESCAP) and UN-Habitat. The publication explores future policy pathways for policymakers and stakeholders to “reimagine the built and natural environments in the region’s cities.”The report titled, ‘The Future of Asian and Pacific Cities: Transformative Pathways Towards Sustainable Urban Development,’ describes 15 policy pathways across four priorities to guide future urbanization: urban and territorial planning; urban resilience; smart and inclusive cities; and urban finance. Taken together, it argues, these pathways comprise “a guidebook for future urbanization” in the Asia-Pacific region, which became majority urban in 2019 for the first time, with more than 2.3 billion people living in cities. The report maintains that these pathways are critical for realizing the SDGs and the New Urban Agenda (NUA), and evaluates their implications for achieving inclusive sustainable development in cities by 2030.The Asia-Pacific region became majority urban in 2019 for the first time, with more than 2.3 billion people living in cities.On urban and territorial planning, the report provides an overview of the state of planning and recent successes in the region. Recommended pathways include: integrating sustainability and quality-of-life targets into planning to future-proof investment in cities; co-producing, with citizens, planning solutions that align technological investment with local government capacities; and identifying urban regeneration and growth strategies that optimize urban-rural and city-region collaborations to drive sustainability and investment.On urban resilience activities, as well as shocks and stresses, such as natural disasters, economic reliance on single industries, and an aging population, suggested pathways include:scaling up use of nature-based solutions and resilient infrastructure in integrated urban and climate change planning;understanding the informal economy and supporting the urban poor to be change agents;creating and strengthening partnerships to bring more attention and resources to long-term urban resilience strategies; andutilizing big data sources to connect communities, cities and regions and improve technological literacy.On smart and inclusive cities, the report addresses the digital revolution’s implications for cities, and the region’s adoption of smart city key performance indicators and plans, combined with new technologies to manage city services. However, it also notes potential limitations of overreliance on technology, including failure to address the digital divide. Suggested pathways include: improving smart city governance; encouraging technology firms to become more civic minded and create sustainable smart city solutions with social enterprises; adopting cybersecurity safeguards; developing smart mobility investment; and expanding viable smart city funding mechanisms.On urban finance, the report focuses on types of finance most likely to offer sustainable and inclusive solutions for the region, and suggests the following pathways: scaling up public-private partnerships (PPPs) and community schemes to transition to localized housing finance solutions; adopting land-linked financing mechanisms that leverage urban growth to build people-centered urban infrastructure; and employing congestion charging and environmental user fees.The report was released on the eve of the seventh Asia-Pacific Urban Forum, which convened in Penang, Malaysia, from 15-17 October 2019. [Publication:The Future of Asian and Pacific Cities 2019: Transformative Pathways Towards Sustainable Urban Development] [Publication Landing Page]",1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1
"24 September 2019: The Sustainable Development Solutions Network (SDSN) has issued the results of a study on costing and financing the SDGs in the world’s 59 low-income developing countries. It highlights a SDG financing gap of USD400 billion per year for these countries, and notes that LIDC governments will require a substantial increase in fiscal revenues far beyond what they can achieve through their own fiscal reforms.The SDSN paper,issuedon 23 September 2019, was prepared by theSDSN Costing and Financing Teamwith inputs from the Working Group on SDG Costing and Financing (SDG Costing Group). The SDG Costing Group is convened by SDSN and co-chaired with the International Monetary Fund (IMF), the World Bank and the Organisation for Economic Co-operation and Development (OECD).The paper points to the importance of international cooperation to enable the LIDCs to meet the Goals. It outlines measures to help fill their financing gap including:mobilizing private investments in blended financing (USD50 billion);mobilizing increased revenues earmarked for SDG-related expenditures by closing international tax loopholes (USD50 billion);introducing globally harmonized taxes, such as wealth taxes for ultra-high net worth individuals (USD100 billion), financial transactions taxes (USD50 billion), and carbon taxes (USD50 billion);increasing and better targeting official development assistance (USD100 billion); andexpanding private philanthropy through the GivingPledge(USD30 billion).The paper further proposes a policy roadmap for 2020. The roadmap calls for,inter alia: a UN General Assembly (UNGA) resolution asking UN Member States to undertake the actions needed to close the SDG financing gap; multilateral agencies such as the IMF, the World Bank, and the UN to prioritize the mobilization of additional SDG financing; supporting country-level SDG planning, budgeting and implementation; multilateral international institutions, member countries and other relevant officials and stakeholders to focus on compiling more accurate fiscal profiles of countries and assessments to meet the SDGs; and expanding the role of global funds, while ensuring that global funds are well-resourced and well-designed.Per the paper, the ad hoc SDG Costing Group seeks to build a community of practice that can support country-level and global SDG costing and financial planning. The group – composed of approximately 60 members from various organizations – also works to mobilize best costing practices and costing tools to support lower-income countries with the preparation of budgetary frameworks, revenue strategies and development assistance strategies to achieve the SDGs. The findings of the group are expected to facilitate the work of national governments, among other actors, and inform the UNGA on matters related to the Addis Ababa Action Agenda on financing for development (FfD). It should further inform the OECD-Development Assistance Committee (DAC) on its advice to donor governments on supporting the SDGs.The paper’s conclusions were presented during aneventon ‘The Cost of Success: Identifying SDG Financing Needs and Pathways for Low-Income Countries’ that took place on 24 September 2019, at the Permanent Mission of Denmark, during the UN General Assembly’s (UNGA) high-level week. [Publication:SDG Costing & Financing for Low-Income Developing Countries]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3 October 2019: Rainforest Foundation Norway has released a report that analyzes the impacts of the aviation industry’s emissions reduction goals on deforestation. The report cautions that the production of alternative aviation fuels is likely to drive forest clearance and generate carbon dioxide emissions from land use change, underscoring how emissions reductions goals in one sector can have a negative impact on others.The report titled, ‘Destination deforestation: Aviation biofuels, vegetable oil and land use change,’ explains that the aviation industry aims to reduce its carbon dioxide emissions by 50% in 2050, compared to the 2005 level, without limiting growth. The aviation industry plans to work towards this goal by shifting from conventional jet fuel to alternative aviation fuels. According to Rainforest Foundation Norway’s report, the only current technology operating at a commercial scale to produce aviation fuel from electricity is the ‘hydroprocessed esters and fatty acids, or HEFA’ process, which produces jet fuel from animal fats and vegetable oils. The report raises concerns about the cost of fuels produced using HEFA or other alternatives and cautions that the HEFA industry’s sustainability and scalability is limited by the need for feedstock inputs, such as palm oil and soy oil, both of which are associated with tropical deforestation.The report questions “whether current rates of aviation growth can ever be sustainable in a carbon constrained world.”Based on the aviation industry’s projected fuel needs, the report states that, if palm and soy oils each contribute a quarter of the feedstock demand for the aviation industry goal, it “could drive 3.2 million hectares of forest loss and 5 gigatonnes of land use change carbon dioxide emissions.” The report concludes that the HEFA technology is “simply not appropriate to delivering the volumes […] needed for a large-scale transition to alternative fuels in the aviation industry” and therefore recommends identifying more commercially viable and scalable technology options. Within this context, the report questions “whether current rates of aviation growth can ever be sustainable in a carbon constrained world.”To avoid undermining the SDGs and limit global temperature rise, the report argues the aviation industry should avoid using biofuels from feedstocks, such as palm oil and soy, that have a high deforestation risk. The report therefore recommends reassessing the realistic potential for alternative aviation fuel deployment between now and 2050. The report further recommends,inter alia: focusing on mobilizing investment for demonstrating the potential of electrofuels and cellulosic biofuels at commercial scale; and reprioritizing additional options to decarbonize aviation, including electric propulsion and novel airframes. [Rainforest Foundation Norway Press Release] [Publication:Destination deforestation: Aviation biofuels, vegetable oil and land use change] [Rainforest Foundation Norway Website]",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"The Ottawa Group, comprised of 13 World Trade Organization (WTO) members, has released a statement outlining six action areas to focus on in light of COVID-19. Formed in the wake of the Ottawa Ministerial on WTO Reform, held 24-25 October 2018, the Group seeks to address specific challenges that are putting the multilateral trading system under stress.Addressing group members virtually on 15 June 2020, WTO Director-General Roberto Azevêdo acknowledged that the current pandemic has placed additional strains on the system. Azevêdo emphasized the importance of the upcoming Twelfth Ministerial Conference (MC12), which has beenpostponedtentatively to June 2021, but nonetheless provides an opportunity to advance WTO reform initiatives and aid COVID-19 recovery efforts.The June 2020 statement of the Ottawa Group points to thinking already underway on “trade policy actions that would support an inclusive, sustainable, and resilient recovery” from the pandemic. The statement sets out six areas where actions can be taken:Transparency and withdrawal of trade-restrictive measures;Keeping open and predictable trade in agricultural and agrifood products;E-commerce;Trade facilitation – use of information technology and streamlined procedures;Initiative on medical supplies; andDeepen engagement with stakeholders.Ministers of the Group instruct officials to carry out “action points” on each of the six areas. On the first area relating to transparency, officials are instructed,inter alia, “to ensure any measures introduced in response to COVID-19 are promptly notified in accordance with relevant WTO requirements.” This includes a return to a quarterly cycle of trade monitoring reports, and supporting best practices to share information. Furthermore, officials must discuss the principle of COVID-19-related measures being “targeted, proportionate, transparent, temporary and consistent with WTO rules” and withdraw or end any trade-restrictive measures introduced in response to COVID-19 as quickly as possible.The statement flags that these focus areas and actions do not signify a reduction of interest by the Group in other priority areas such as reform of the organization (including reform of the WTO’s dispute settlement system for a long-lasting solution), and multilateral negotiations on harmful fisheries subsidies and agriculture. The Group also notes its support for joint statement initiatives including those on services domestic regulation, investment facilitation for development, and micro-, small and medium-sized enterprises (MSMEs), and signals that members also intend to remain active in discussions held outside the WTO to safeguard global supply chains.The 13 members of the Ottawa Group are Australia, Brazil, Canada, Chile, the EU, Japan, Kenya, the Republic of Korea, Mexico, New Zealand, Norway, Singapore, and Switzerland. In addition to the Ottawa Group, other working groups seeking to tackle WTO reform from different perspectives include atrilateral processbetween the EU, the US, and Japan, and a bilateral EU-USExecutive Working Group, among others. [June 2020 Statement of the Ottawa Group] [WTO News Release] [Ottawa Group and WTO Reform]",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"The human rights implications of chemicals and waste management were a topic of interest at a briefing organized by the Geneva Environment Network (GEN). The briefing focused on two recent reports from the UN Environment Programme (UNEP). Presentations included remarks from the UN Special Rapporteur on Toxics and Human Rights, a role established 25 years ago due to growing concern about the dumping in Africa of hazardous waste generated in Europe.Held on 20 October 2020, thebriefingprovided an opportunity to discuss: a report onissues of concern, detailing eight emerging policy issues and other issues of concern identified under the Strategic Approach to International Chemicals Management (SAICM), and reviewing how regulatory and policy frameworks address them; and a report onstrengthening the science-policy interface for chemicals and waste management, which assesses three options for such an interface: an independent platform; institutionalizing outlook development processes; and thematic subsidiary panels with specialized task forces. UNEP developed the reports in response to requests by the fourth UN Environment Assembly (UNEA-4) for consideration atUNEA-5.Marcos Orellana,UN Special Rapporteur on Toxics and Human Rights, said the science-policy interface is particularly important regarding human rights implications of the environmentally sound management and disposal of hazardous substances and wastes. He said the “right to science” in the human rights field is anchored in theInternational Covenant on Economic, Social and Cultural Rights.He said criteria for a successful SPI in this area include credibility and independence, as well as transparency to prevent conflict of interest. He also highlighted the private sector’s role in the work of existing science-policy platforms in chemicals and waste, as well as the need to protect against inappropriate corporate influence. Orellana said the Intergovernmental Panel on Climate Change (IPCC): preserves the integrity of the scientific debate; keeps discussions transparent; and enables access to the scientific evidences in which the assessments are based.In response to questions from participants, Orellana also discussed disclosure of information by manufacturers. He highlighted: the complexity of balancing the benefits of scientific progress with intellectual property rights (IPRs); the need for governments to establish regulatory mechanisms to ensure access to information; and risks that platforms may be captured by special interests.Felix Wertli, Switzerland, said the most effective SPI option for Switzerland is an intergovernmental panel, which would best prevent conflicts of interest and ensure scientific integrity. Speakers also pointed out that:The Basel, Rotterdam and Stockholm Conventions (BRS) have embedded SPI mechanisms, such as thePOPs Review Committeeunder the Stockholm Convention, and expert working groups, for example on plastic and on e-waste, under the Basel Convention;Digital tools are important to maximize the impact of SPI platforms; andVirtual working groups have been established during the COVID-19 pandemic to ensure discussions continue on the post-2020 framework for chemicals and waste management.Discussions also addressed the current model of the Global Chemicals Outlook (GCO), adopted at UNEA, and its deficiencies regarding strengthening the SPI.Participants raised the need to strike a balance in the post-2020 instrument, including regarding funding, between the high-level, research/policy-oriented aspects and on-the-ground efforts on issues of concern. Exchanges also touched on technology transfer and institutional strengthening in developing countries, including through UNEP’sSpecial Programme on Institutional Strengthening for the Chemicals Cluster, which helps developing countries access funding and develop sound plans for managing chemicals and waste. [SDG Knowledge Hub sources]",0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1
"18 September 2019: UN Secretary-General António Guterres announced an initiative aimed at ensuring that creating decent jobs and protecting livelihoods are at the center of countries’ efforts to ramp up climate action, and urged States to join the initiative.The ‘Climate Action for Jobs’ initiative was developed jointly by the Climate Action Summit, the International Labour Organization (ILO) and other members of the Summit’s Social and Political Drivers coalition, co-led by Spain and Peru. The initiative provides a roadmap to ensure that people’s jobs and well-being are at the core of the transition to a carbon-neutral economy.Launching the initiative, the Secretary-General noted that around 1.2 billion jobs, or 40% of world employment, “rely directly on a healthy and stable environment.” Warning that business “cannot succeed on a planet that fails,” and jobs “cannot be sustained on a dying planet,” Guterres urged governments, businesses and people everywhere to join efforts to “put climate action into a higher gear.”Business cannot succeed on a planet that fails. Jobs cannot be sustained on a dying planet.The initiative calls on countries to formulate national plans for a just transition while creating decent work and green jobs, and introduces specific measures to include in national plans, including:Assessing the employment, social and economic impacts of climate action;Implementing skills development and upgrading measures;Designing innovative social protection policies to protect workers and vulnerable groups;Increasing the transfer of technology and knowledge to developing countries, and innovation and responsible investment;Fostering a conducive business environment to enable enterprises, in particular small and medium-sized enterprises (SMEs), to adopt low-carbon production processes;Devising economic policies and incentives to support and encourage enterprises’ transition towards the environmentally sustainable production of goods and services; andCreating mechanisms for inclusive social dialogue to build consensus for transformative and sustainable change.The ILO ‘Guidelines for a Just Transition Towards Environmentally Sustainable Economies and Societies for All,’ adopted through tripartite consensus, provide a framework to guide countries’ transition to low-carbon economies.The initiative was launched on 18 September, and subsequently presented at the Secretary-General’s Climate Action Summit on 23 September at UN Headquarters in New York, US. Implementation of the initiative will be spearheaded by the ILO, with support from other partners in the Social and Political Drivers action area, including the B-Team, the International Trade Union Confederation (ITUC) and the International Organisation of Employers (IOE). [UN Climate Action Summit Press Release] [ILO Guidelines for Just Transition] [SDG Knowledge Hub Story on Climate Action Summit]",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
